"","V1"
"1",-1.22396243219897
"2",-1.22396243219897
"3",-1.22396243219897
"4",-1.22396243219897
"5",-1.22396243219897
"6",-1.22396243219897
"7",-1.22396243219897
"8",-1.22396243219897
"9",-1.24210766587823
"10",-1.24210766587823
"11",-1.24210766587823
"12",-1.24210766587823
"13",-1.24210766587823
"14",-1.24210766587823
"15",-1.24210766587823
"16",-1.24210766587823
"17",-1.24210766587823
"18",-1.2386514308917
"19",-1.2386514308917
"20",-1.24210766587823
"21",-1.24210766587823
"22",-1.24210766587823
"23",-1.24210766587823
"24",-1.24210766587823
"25",-1.24210766587823
"26",-1.24729201835802
"27",-1.24729201835802
"28",-1.22396243219897
"29",-1.22396243219897
"30",-1.22396243219897
"31",-1.22396243219897
"32",-1.22396243219897
"33",-1.22396243219897
"34",-1.22396243219897
"35",-1.22396243219897
"36",-1.22396243219897
"37",-0.492104673802061
"38",-0.492104673802061
"39",-0.492104673802061
"40",-0.492104673802061
"41",-0.492104673802061
"42",-0.492104673802061
"43",-0.492104673802061
"44",-0.492104673802061
"45",-0.492104673802061
"46",-0.492104673802061
"47",-0.492104673802061
"48",-0.492104673802061
"49",-0.492104673802061
"50",-0.492104673802061
"51",-0.512842083721218
"52",-0.512842083721218
"53",-0.512842083721218
"54",-0.512842083721218
"55",-0.512842083721218
"56",-0.512842083721218
"57",-0.512842083721218
"58",-0.512842083721218
"59",-0.512842083721218
"60",-0.512842083721218
"61",-0.512842083721218
"62",-0.512842083721218
"63",-0.456678265190168
"64",-0.456678265190168
"65",-0.456678265190168
"66",-0.456678265190168
"67",-0.456678265190168
"68",-0.456678265190168
"69",-0.456678265190168
"70",-0.456678265190168
"71",-0.456678265190168
"72",-0.456678265190168
"73",-0.456678265190168
"74",-0.456678265190168
"75",-0.456678265190168
"76",-0.456678265190168
"77",-0.456678265190168
"78",-0.456678265190168
"79",-0.456678265190168
"80",-0.536171669880269
"81",-0.536171669880269
"82",-0.536171669880269
"83",-0.536171669880269
"84",-0.536171669880269
"85",-0.536171669880269
"86",-0.536171669880269
"87",-0.536171669880269
"88",-0.536171669880269
"89",-0.536171669880269
"90",-0.536171669880269
"91",-0.536171669880269
"92",-0.43507679652438
"93",-0.43507679652438
"94",-0.43507679652438
"95",-0.43507679652438
"96",-0.43507679652438
"97",-0.43507679652438
"98",-0.43507679652438
"99",-0.43507679652438
"100",-0.43507679652438
"101",-0.43507679652438
"102",-0.43507679652438
"103",-0.43507679652438
"104",-0.43507679652438
"105",0.139522269985587
"106",0.139522269985587
"107",0.139522269985587
"108",0.139522269985587
"109",0.139522269985587
"110",0.139522269985587
"111",0.139522269985587
"112",0.139522269985587
"113",0.139522269985587
"114",0.139522269985587
"115",0.139522269985587
"116",0.139522269985587
"117",0.139522269985587
"118",0.257898318274107
"119",0.257898318274107
"120",0.257898318274107
"121",0.257898318274107
"122",0.257898318274107
"123",0.257898318274107
"124",0.257898318274107
"125",0.257898318274107
"126",0.257898318274107
"127",0.257898318274107
"128",0.257898318274107
"129",0.257898318274107
