"","SciName","Intercept.coef","Distance.coef","time_diff.coef","Cosin_time.coef","Galilee.coef","Judea.coef","Distance_time.coef","Intercept.p","Distance.p","time_diff.p","Cosin_time.p","Subunit.p","Distance_time.p","Species_abundance"
"1","Canis.aureus",1.1305720540752,-2.09334481953375,-0.309552248113002,-0.431852468253762,0.453766638529236,-0.526177834716785,-0.279788009779801,NA,0.001,0.706,0.001,0.006,0.312,6971
"2","Canis.lupus",-9.60376651577106,-1.78197733165546,0.625869920036197,1.21041507480939,5.53447771224111,-12.8236175083674,-0.283281590884463,NA,0.111,0.835,0.963,0.001,0.979,44
"3","Gazella.gazella",-3.58342350067917,2.7454983380291,0.238869711462282,1.24566486952631,2.64616354424918,4.38434858170199,-0.457744591709607,NA,0.016,0.065,0.001,0.001,0.299,406
"4","Hyaena.hyaena",-1.33419061642773,0.235236305401737,-0.45590196204974,0.60538697364942,-3.44507896170642,-0.27047753664599,-0.635677680357066,NA,0.004,0.882,0.003,0.001,0.122,298
"5","Hystrix.indica",0.809611521476765,-0.388146131501304,0.0111147403726989,-0.0945755064756728,0.334809159005411,0.87466876981194,-0.559033776198703,NA,0.102,0.005,0.999,0.005,0.057,3019
"6","Meles.meles",-1.08523793012205,-0.847969260809323,-0.0269884699528836,0.106201996379768,-1.68090502878937,-1.49942360623905,0.0105005898415593,NA,0.059,0.945,0.959,0.002,0.979,408
"7","Sus.scrofa",2.62871712002625,-0.571977905758236,0.106198497813209,0.026888943350526,1.27311007543985,-4.80090480808448,-0.295460331367781,NA,0.068,0.515,0.001,0.001,0.122,10124
"8","Vulpes.vulpes",0.534299471494664,0.66973557554648,-0.0579237442898903,0.0991905848777589,0.0615422447686814,0.40034300245641,-0.164434322454726,NA,0.004,0.945,0.719,0.434,0.71,1478
