"","SciName","Intercept.coef","Distance.coef","Time_diff.coef","Site_Karei.Deshe.coef","Site_Natur.coef","Site_Shaal.coef","Site_Yavneel.coef","sinus_monitoring.time.coef","cosinus_monitoring.time.coef","Distance_Time.coef","Intercept.p","Distance.p","Time_diff.p","Site.p","sin_time.p","Cosin_time.p","Distance_Time.p","species_abundance"
"1","Canis.aureus",3.98272984506354,-2.2357706966655,-0.121963944550646,-3.90034791585322,-3.5643281758425,-5.71106817638176,-4.26883617838714,-0.650544593038928,0.355689510504709,-0.315734062653937,NA,0.055,0.454,0.018,0.096,0.552,0.331,464
"2","Gazella.gazella",0.151304806272,0.701370418554591,-0.169971357983039,1.48244476972328,0.201430687940821,1.91184019408037,1.10659918123747,-0.082575769338859,-0.316731149329852,0.113872078059622,NA,0.478,0.454,0.01,0.849,0.552,0.606,600
"3","Hystrix.indica",-0.772593723114236,-0.833805478991208,-0.14064632280412,0.280256660578433,-0.336512395177634,-1.62215300668254,-0.376681733247128,-0.500014537574475,0.257495661485655,-0.518469698628346,NA,0.235,0.729,0.394,0.33,0.7,0.31,80
"4","Meles.meles",-4.87801681687354,1.95851535430867,0.0871418552075745,4.32509155342857,2.20916303924915,3.82171520084453,1.50333824521843,-1.10414310616657,0.932224210442896,-0.238952749679311,NA,0.708,0.729,0.394,0.33,0.552,0.676,34
"5","Sus.scrofa",0.827819228302138,0.186048973215559,0.110466809503458,-0.293464139938152,0.665825831674684,-0.51488682901301,-0.605843520639609,-0.603081827036567,0.896229481363677,-0.433368121165306,NA,0.576,0.726,0.394,0.096,0.043,0.167,495
"6","Vulpes.vulpes",0.432069056202356,-0.886571735016863,0.535960218349994,-1.54040158451106,-0.793593466630884,-0.630992367776828,-0.387378434141471,-0.383853840676984,-0.192748063884325,0.300956253443571,NA,0.055,0.002,0.093,0.293,0.7,0.253,212
