"","SciName","Intercept.coef","Cosin_time.coef","Galilee.coef","Judea.coef","Intercept.p","Cosin_time.p","Subunit.p","Species_abundance"
"1","Canis.aureus",1.66832364028078,-0.0184360316410023,-0.339946099151841,-0.947781519538572,NA,0.623,0.056,1350
"2","Canis.lupus",-22.0229111074286,3.39003814782967,18.9508377898479,14.1874517996615,NA,0.044,0.001,53
"3","Gazella.gazella",-2.07969841471188,0.408815344471614,2.2331592676176,3.33158593278405,NA,0.895,0.001,658
"4","Hyaena.hyaena",-3.4470738307488,0.0176923004411696,-1.27978313075062,0.201843043934087,NA,0.895,0.221,43
"5","Hystrix.indica",-0.15660859449341,-0.328139796947337,-0.625615580898269,1.06113127341828,NA,0.032,0.001,635
"6","Lepus.capensis",-4.02503045819534,2.23000294446452,-17.6900367117234,-1.73530245761047,NA,0.102,0.035,27
"7","Meles.meles",-2.21918779331253,-0.931238184405488,-0.980293850326893,-1.75573640084492,NA,0.332,0.082,74
"8","Sus.scrofa",2.0230817225788,0.445707104140832,0.390434708042019,-4.545071278644,NA,0.001,0.001,1872
"9","Vulpes.vulpes",0.197757541671865,0.308126356727394,0.0635122759453992,0.232954816566157,NA,0.255,0.726,683
