"","Project.ID","Deployment.id_new","Unit","Subunit","Site","Settlements","Lon","Lat","Start.date","Time.Diff","rescaled_Time.Diff","Monitoring.Time.Diff_numeric","sinus_Monitoring.Time.Diff","cosinus_Monitoring.Time.Diff","Distance","Transect","Distance.Agri"
"29","T0","Beit Oren Near CA27","Mediterranean Maquis","Carmel","Beit Oren","Near",35.003002,32.734064,18/06/12,  50,-1.7176921,-3,-0.141120008059867,-0.989992496600445,0,"Beit Oren Near",208.515008
"30","T0","Ein Yaakov Far CA20","Mediterranean Maquis","Galilee","Ein Yaakov","Far",35.229275,33.003018,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,398.2677455,"Ein Yaakov Far",541.609247
"31","T0","Ein Yaakov Far CA21","Mediterranean Maquis","Galilee","Ein Yaakov","Far",35.229275,33.003018,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,398.2677455,"Ein Yaakov Far",541.609247
"32","T0","Ein Yaakov Far CA22","Mediterranean Maquis","Galilee","Ein Yaakov","Far",35.229275,33.003018,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,398.2677455,"Ein Yaakov Far",541.609247
"33","T0","Ein Yaakov Far CA23","Mediterranean Maquis","Galilee","Ein Yaakov","Far",35.229275,33.003018,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,398.2677455,"Ein Yaakov Far",541.609247
"34","T0","Ein Yaakov Far CA24","Mediterranean Maquis","Galilee","Ein Yaakov","Far",35.229275,33.003018,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,398.2677455,"Ein Yaakov Far",541.609247
"35","T0","Ein Yaakov Far CA25","Mediterranean Maquis","Galilee","Ein Yaakov","Far",35.229275,33.003018,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,398.2677455,"Ein Yaakov Far",541.609247
"36","T0","Ein Yaakov Far CA26","Mediterranean Maquis","Galilee","Ein Yaakov","Far",35.229275,33.003018,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,398.2677455,"Ein Yaakov Far",541.609247
"37","T0","Ein Yaakov Near CA10","Mediterranean Maquis","Galilee","Ein Yaakov","Near",35.228332,33.006337,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,25.22243808,"Ein Yaakov Near",286.785281
"38","T0","Ein Yaakov Near CA11","Mediterranean Maquis","Galilee","Ein Yaakov","Near",35.228332,33.006337,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,25.22243808,"Ein Yaakov Near",286.785281
"39","T0","Ein Yaakov Near CA12","Mediterranean Maquis","Galilee","Ein Yaakov","Near",35.228332,33.006337,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,25.22243808,"Ein Yaakov Near",286.785281
"40","T0","Ein Yaakov Near CA13","Mediterranean Maquis","Galilee","Ein Yaakov","Near",35.228332,33.006337,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,25.22243808,"Ein Yaakov Near",286.785281
"41","T0","Ein Yaakov Near CA14","Mediterranean Maquis","Galilee","Ein Yaakov","Near",35.228332,33.006337,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,25.22243808,"Ein Yaakov Near",286.785281
"42","T0","Ein Yaakov Near CA15","Mediterranean Maquis","Galilee","Ein Yaakov","Near",35.228332,33.006337,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,25.22243808,"Ein Yaakov Near",286.785281
"43","T0","Ein Yaakov Near CA16","Mediterranean Maquis","Galilee","Ein Yaakov","Near",35.228332,33.006337,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,25.22243808,"Ein Yaakov Near",286.785281
"44","T0","Ein Yaakov Near CA17","Mediterranean Maquis","Galilee","Ein Yaakov","Near",35.228332,33.006337,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,25.22243808,"Ein Yaakov Near",286.785281
"45","T0","Ein Yaakov Near CA18","Mediterranean Maquis","Galilee","Ein Yaakov","Near",35.228332,33.006337,03/06/12,  35,-1.7298572,-18,0.750987246771676,0.66031670824408,25.22243808,"Ein Yaakov Near",286.785281
"46","T0","Givat Yearim Far CA20","Mediterranean Maquis","Judea","Givat Yearim","Far",35.092326,31.775273,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,396.3905249,"Givat Yearim Far",397.955471
"47","T0","Givat Yearim Far CA21","Mediterranean Maquis","Judea","Givat Yearim","Far",35.092326,31.775273,31/07/12,  93,-1.6828189,40,0.745113160479349,-0.666938061652262,396.3905249,"Givat Yearim Far",397.955471
