"","Project.ID","year","Deployment.id_new","Unit","Subunit","Site","Settlements","Agriculture","Dunes","Lon","Lat","Start.date","Time.Diff","rescaled_Time.Diff_new","Monitoring.Time.Diff_numeric","sinus_Monitoring.Time.Diff","cosinus_Monitoring.Time.Diff","Distance","Transect","Distance.Agri","Transect_date","Canis aureus","Canis lupus","Capra nubiana","Dama mesopotamica","Equus hemionus","Gazella dorcas","Gazella gazella","Hyaena hyaena","Hystrix indica","Lepus capensis","Meles meles","Oryx leucoryx","Sus scrofa","Vulpes vulpes"
"19","T0",2014,"Paran Far 53","Arid Desert",NA,"Paran",NA,"Far",NA,35.131286,30.344311,26/05/14, 757,-1.15856814,-26,-0.762558450479603,0.64691932232864,2452.388356,"Paran Far",1804.614774,"Paran Far 26/05/14",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","T0",2014,"Yotvata Far 11","Arid Desert",NA,"Yotvata",NA,"Far",NA,35.046068,29.884492,22/05/14, 753,-1.16178315,-30,0.988031624092862,0.154251449887584,1349.998495,"Yotvata Far",1832.984365,"Yotvata Far 22/05/14",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"21","T0",2014,"Yotvata Far 12","Arid Desert",NA,"Yotvata",NA,"Far",NA,35.046068,29.884492,22/05/14, 753,-1.16178315,-30,0.988031624092862,0.154251449887584,1349.998495,"Yotvata Far",1832.984365,"Yotvata Far 22/05/14",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"22","T0",2014,"Yotvata Far 13","Arid Desert",NA,"Yotvata",NA,"Far",NA,35.046068,29.884492,22/05/14, 753,-1.16178315,-30,0.988031624092862,0.154251449887584,1349.998495,"Yotvata Far",1832.984365,"Yotvata Far 22/05/14",0,0,7,0,0,0,0,0,0,0,0,0,0,0
"23","T0",2014,"Yotvata Far 15","Arid Desert",NA,"Yotvata",NA,"Far",NA,35.046068,29.884492,22/05/14, 753,-1.16178315,-30,0.988031624092862,0.154251449887584,1349.998495,"Yotvata Far",1832.984365,"Yotvata Far 22/05/14",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"24","T0",2014,"Yotvata Far 16","Arid Desert",NA,"Yotvata",NA,"Far",NA,35.046068,29.884492,22/05/14, 753,-1.16178315,-30,0.988031624092862,0.154251449887584,1349.998495,"Yotvata Far",1832.984365,"Yotvata Far 22/05/14",0,0,6,0,0,1,0,0,0,0,0,0,0,0
"25","T0",2014,"Yotvata Far 18","Arid Desert",NA,"Yotvata",NA,"Far",NA,35.046068,29.884492,22/05/14, 753,-1.16178315,-30,0.988031624092862,0.154251449887584,1349.998495,"Yotvata Far",1832.984365,"Yotvata Far 22/05/14",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"26","T0",2014,"Yotvata Near 3","Arid Desert",NA,"Yotvata",NA,"Near",NA,35.067509,29.889448,16/05/14, 747,-1.16660567,-36,0.991778853443116,-0.127963689627405,232.7139415,"Yotvata Near",137.826558,"Yotvata Near 16/05/14",3,0,0,0,0,0,0,2,0,1,0,0,0,1
"27","T0",2014,"Yotvata Near 7","Arid Desert",NA,"Yotvata",NA,"Near",NA,35.067509,29.889448,16/05/14, 747,-1.16660567,-36,0.991778853443116,-0.127963689627405,232.7139415,"Yotvata Near",137.826558,"Yotvata Near 16/05/14",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","T0",2014,"Zofar Far 37","Arid Desert",NA,"Zofar",NA,"Far",NA,35.17713,30.547329,12/06/14, 774,-1.14490434,-9,-0.412118485241757,-0.911130261884677,803.6579307,"Zofar Far",829.564938,"Zofar Far 12/06/14",0,0,0,0,0,0,0,0,1,0,0,0,0,0
