"","SciName","Intercept.coef","Distance.coef","Cosin_time.coef","Sin_time.coef","Site_Amatzia.coef","Site_Bat_Shlomo.coef","Site_Eitanim.coef","Site_Elyakim.coef","Site_Eshtaol.coef","Site_Givat_Yeshayahu.coef","Site_Kabri.coef","Site_Kerem_Maharal.coef","Site_Manara.coef","Site_Meron.coef","Site_Ofer.coef","Site_Ramat_Hashofet.coef","Site_Ramot_Naftali.coef","Site_Zuriel.coef","Intercept.p","Distance.p","Cosin_time.p","Sin_time.p","Site.p","Species_abundance"
"1","Canis.aureus",1.55650847182034,2.46771519633234,0.131214828051581,0.743572986421675,-3.22590383391458,-1.63564199795038,-1.0434319860708,-3.22829114734528,-1.59729727476855,-1.96482829026536,0.384727723374516,-2.69102149729272,-4.61290523341802,-1.56895478042787,0.247224018847901,0.772381616823801,0.827432003560937,1.49925882034793,NA,0.69,0.477,0.256,0.001,1350
"2","Canis.lupus",-19.9819174741609,10.5137285280005,3.2025517743965,-1.45540446135093,1.14118616871398,-0.661811052140767,3.29387558333178,-9.54582448995431,-0.750164036891814,-4.11981830763221,-2.57100193165717,-3.36503799189507,0.892214318507162,13.6342797083464,-3.05735517606782,-5.57460844611156,0.804322528423135,25.0858168641398,NA,0.367,0.234,0.481,0.001,85
"3","Gazella.gazella",0.989209713019956,-0.936639307692671,0.170268241397542,0.79663436755812,0.890782784825093,-1.31732039427908,-4.22919162770526,-21.9566476576505,1.90509294276306,-3.20218525747872,-6.232377066893,-4.26408707749835,-3.62345940192137,0.525686004729776,-4.65335623801294,-3.8552777156737,0.566166582267343,-23.4188239647292,NA,0.367,0.884,0.817,0.001,671
"4","Hyaena.hyaena",-2.51984651171038,4.20596084173922,0.212711687502925,-1.64847439758476,-6.96262513987506,-18.5824688774292,2.7941667183287,-4.36184925131785,-2.98010384424387,-19.7456304264591,-19.2562086114265,-1.20016701144558,-7.85977418549954,-21.0430136214152,1.08705518688548,-21.3292780415658,0.436232696178118,-15.0667201082342,NA,0.768,0.882,0.937,0.001,43
"5","Hystrix.indica",1.39638713861724,-0.611413871783942,-0.157045381324579,0.0956452362520268,-0.581774453389791,-0.0566489768014466,-0.527186413663664,-1.96893336630054,-1.11604090709707,0.0249312443133155,-1.5950532124081,-2.90956959747062,-0.193305812734062,-3.23561524165139,-2.61700576772558,-1.86079994145878,-6.96027909882122,-2.39181466921587,NA,0.691,0.017,0.937,0.001,655
"6","Lepus.capensis",-20.4565836644657,-5.88744538890114,3.00058189512198,2.65647500115494,19.3334336784746,-2.09558413928954,-3.99181842901491,1.41901065034355,-0.20566641738722,15.8127380168326,-1.14094667120909,-1.89211355031028,5.77035920846648,-0.383868501174737,17.1072278617074,3.02230758505142,-3.3743568087387,-5.80928549172935,NA,0.859,0.107,0.056,0.004,27
"7","Meles.meles",-3.98582148881955,-4.67592746256999,-0.551201781567891,0.102348494350592,5.75000207681917,1.8193499416328,-2.94416778094217,1.52329362832844,-1.83587996953518,2.2438659406141,0.778251396751199,2.24426059660453,7.82471464335604,-15.2503759488737,-16.7184662945165,3.77729612475621,-0.66660103379538,-2.66663166960359,NA,0.84,0.333,0.373,0.004,74
"8","Sus.scrofa",-4.39549511248802,-1.41844970131671,0.443985519980995,-0.0904203229111421,-14.9429165180242,5.57804572427623,-0.14447864125817,7.09423841687617,3.61905628752714,-16.4504441177916,7.50783601543331,6.26133357157177,8.07219366172762,7.21619672299062,6.91105551068542,7.4229577827053,6.34475575475348,5.9491248250848,NA,0.512,0.005,0.323,0.001,2025
"9","Vulpes.vulpes",0.960026938384373,0.934801329648257,0.138397999507003,-0.111130041557886,-0.969012418657514,0.15472400108292,-1.01421333786885,-1.52454617714708,-0.988654958417217,-1.48156720807852,-1.43595227640016,-2.85759917503317,-1.76288953451383,0.0319790901783967,-0.0126164670078558,-2.76110538281877,-1.52586833457789,-0.230151830193744,NA,0.151,0.316,0.937,0.001,683
