"","SciName","Intercept.coef","Distance_agri.coef","Time_diff.coef","cosin_time.coef","sin_time.coef","Site_Lotan.coef","Site_Paran.coef","Site_Zofar.coef","Site_Ein Yahav.coef","Distance_agri_time.coef","Intercept.p","Distance_agri.p","Time_diff.p","cosin_time.p","sin_time.p","Site.p","Distance_agri_time.p","species_abundance"
"1","Canis.aureus",0.999101700610446,-1.71333952461768,0.812919294393128,-0.45583127683953,0.0942839146008414,-4.75118835826962,-7.37620182534537,-5.79070583197726,-7.84155570023508,-1.2094133314331,NA,0.037,0.056,0.559,0.78,0.001,0.165,264
"2","Canis.lupus",-1.82821822801292,0.724532121348314,2.31041198882606,0.802260041923938,1.30998575989187,-1.588384659264,0.137434341415398,-2.43605542015975,-1.8179878737563,0.00657572265498844,NA,0.545,0.002,0.357,0.638,0.153,0.994,237
"3","Capra.nubiana",-12.2054614117341,6.65310189734767,0.277056562422411,3.55564724516868,5.21111678135223,4.52842864354665,-12.5591497216712,-9.29973904443599,-16.1108872105602,-1.84615257211251,NA,0.001,0.024,0.432,0.001,0.001,0.057,394
"4","Gazella.dorcas",-5.43522741724169,4.06021469425796,1.42010877424762,1.10882523958437,-1.00624148342919,4.34202771218378,5.08023942594224,5.5637516494834,3.71734179312795,-1.32356633827684,NA,0.007,0.003,0.307,0.009,0.001,0.038,733
"5","Hyaena.hyaena",-1.90819939121922,0.293485431519073,-0.190839034799275,0.543097022089976,0.182524050956916,-0.651120136984569,-0.289324937421177,0.906801943993594,-0.427854903179783,0.185624172968403,NA,0.545,0.856,0.425,0.78,0.153,0.772,96
"6","Lepus.capensis",-2.12501363634714,-0.020958158776368,0.667301037497491,-0.0939207833389408,-0.131200097231606,0.690630795293437,1.50782358998316,2.94838571431954,5.01266578664965,0.391553224957524,NA,0.818,0.651,0.425,0.78,0.001,0.598,662
"7","Vulpes.vulpes",2.05746431822053,-1.2090889343959,0.187818530529135,-0.467174441525623,0.370395454133136,-1.66885374911385,-1.78074215841878,-4.71403337785432,-2.76478671096874,0.377170851387379,NA,0.21,0.851,0.023,0.096,0.001,0.452,447
