Project.ID,Cycle_number,year,Deployment.id_new,Unit,Subunit,Site,Settlements,Agriculture,Dunes,Lon,Lat,Start.date,Time.Diff,rescaled_Time.Diff,Monitoring.Time.Diff_numeric,sinus_Monitoring.Time.Diff,cosinus_Monitoring.Time.Diff,Distance,Transect,Transect_with_date,Distance_agri,Distance_agri_rescaled,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
T0,0,2014,Paran Far 53,Arid Desert,NA,Paran,NA,Far,NA,35.131286,30.344311,26/05/2014,757,-1.1443122,-26,-0.76255845,0.646919322,2452.388356,Paran Far,Paran Far_26_05_2014,1804.614774,0.982673421,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Yotvata Far 11,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,22/05/2014,753,-1.14755622,-30,0.988031624,0.15425145,1349.998495,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.008862916,0,0,4,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Yotvata Far 12,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,22/05/2014,753,-1.14755622,-30,0.988031624,0.15425145,1349.998495,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.008862916,0,0,3,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Yotvata Far 13,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,22/05/2014,753,-1.14755622,-30,0.988031624,0.15425145,1349.998495,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.008862916,0,0,7,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Yotvata Far 15,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,22/05/2014,753,-1.14755622,-30,0.988031624,0.15425145,1349.998495,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.008862916,0,0,3,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Yotvata Far 16,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,22/05/2014,753,-1.14755622,-30,0.988031624,0.15425145,1349.998495,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.008862916,0,0,6,0,0,1,0,0,0,0,0,0,0,0
T0,0,2014,Yotvata Far 18,Arid Desert,NA,Yotvata,NA,Far,NA,35.046068,29.884492,22/05/2014,753,-1.14755622,-30,0.988031624,0.15425145,1349.998495,Yotvata Far,Yotvata Far_22_05_2014,1832.984365,1.008862916,0,0,3,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Yotvata Near 3,Arid Desert,NA,Yotvata,NA,Near,NA,35.067509,29.889448,16/05/2014,747,-1.15242224,-36,0.991778853,-0.12796369,232.7139415,Yotvata Near,Yotvata Near_16_05_2014,137.826558,-0.556028379,3,0,0,0,0,0,0,2,0,1,0,0,0,1
T0,0,2014,Yotvata Near 7,Arid Desert,NA,Yotvata,NA,Near,NA,35.067509,29.889448,16/05/2014,747,-1.15242224,-36,0.991778853,-0.12796369,232.7139415,Yotvata Near,Yotvata Near_16_05_2014,137.826558,-0.556028379,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Zofar Far 37,Arid Desert,NA,Zofar,NA,Far,NA,35.17713,30.547329,12/06/2014,774,-1.13052513,-9,-0.412118485,-0.911130262,803.6579307,Zofar Far,Zofar Far_12_06_2014,829.564938,0.082552504,0,0,0,0,0,0,0,0,1,0,0,0,0,0
