"","V1"
"1",0.907380680256246
"2",0.907380680256246
"3",0.907380680256246
"4",0.907380680256246
"5",0.907380680256246
"6",-0.522038233763601
"7",-0.522038233763601
"8",-0.522038233763601
"9",0.839108239363756
"10",0.839108239363756
"11",0.839108239363756
"12",0.839108239363756
"13",0.839108239363756
"14",0.839108239363756
"15",0.839108239363756
"16",0.839108239363756
"17",-0.681898883566691
"18",0.990920105754439
"19",0.990920105754439
"20",1.01721779057217
"21",1.01721779057217
"22",1.01721779057217
"23",1.01721779057217
"24",1.01721779057217
"25",1.01721779057217
"26",-0.554138163230723
"27",-0.554138163230723
"28",0.0870807353275331
"29",0.0870807353275331
"30",0.0870807353275331
"31",0.0870807353275331
"32",0.0870807353275331
"33",-0.462342235766665
"34",-0.462342235766665
"35",-0.462342235766665
"36",-0.462342235766665
"37",1.87988192539423
"38",1.87988192539423
"39",1.87988192539423
"40",1.87988192539423
"41",1.87988192539423
"42",1.87988192539423
"43",1.87988192539423
"44",1.87988192539423
"45",1.87988192539423
"46",0.00942435080759168
"47",0.00942435080759168
"48",0.00942435080759168
"49",0.00942435080759168
"50",0.00942435080759168
"51",0.00942435080759168
"52",0.00942435080759168
"53",0.00942435080759168
"54",0.72303509611874
"55",0.72303509611874
"56",0.72303509611874
"57",0.72303509611874
"58",0.72303509611874
"59",0.72303509611874
"60",0.72303509611874
"61",0.09603161092892
"62",0.09603161092892
"63",0.09603161092892
"64",0.09603161092892
"65",0.09603161092892
"66",0.09603161092892
"67",-0.520219421840731
"68",-0.520219421840731
"69",-0.520219421840731
"70",-0.520219421840731
"71",-0.520219421840731
"72",-0.520219421840731
"73",-0.520219421840731
"74",-0.520219421840731
"75",0.657779416728859
"76",0.657779416728859
"77",0.657779416728859
"78",0.657779416728859
"79",0.657779416728859
"80",0.657779416728859
"81",-0.505251520472196
"82",-0.505251520472196
"83",-0.505251520472196
"84",-0.347129078145357
"85",-0.347129078145357
"86",-0.347129078145357
"87",-0.637914486360869
"88",-0.637914486360869
"89",-0.637914486360869
"90",-0.681898883566691
"91",-0.232924077245102
"92",-0.232924077245102
"93",-0.232924077245102
"94",-0.232924077245102
"95",-0.614570501456381
"96",-0.614570501456381
"97",-0.614570501456381
"98",-0.614570501456381
"99",-0.398894496826479
"100",-0.398894496826479
"101",-0.493073230036086
"102",-0.493073230036086
"103",-0.493073230036086
"104",-0.021320864995036
"105",-0.021320864995036
"106",-0.021320864995036
"107",-0.021320864995036
"108",-0.021320864995036
"109",-0.021320864995036
"110",-0.139880281155138
"111",-0.139880281155138
"112",-0.139880281155138
"113",-0.139880281155138
"114",-0.139880281155138
"115",-0.139880281155138
"116",-0.139880281155138
"117",-0.139880281155138
"118",-0.037549745088822
"119",-0.037549745088822
"120",-0.037549745088822
"121",-0.037549745088822
"122",-0.037549745088822
"123",-0.037549745088822
"124",-0.037549745088822
"125",-0.037549745088822
"126",-0.488612277490813
"127",-0.488612277490813
"128",-0.488612277490813
"129",-0.488612277490813
"130",-0.488612277490813
"131",-0.488612277490813
"132",-0.488612277490813
"133",-0.179844790789149
"134",-0.179844790789149
"135",-0.179844790789149
"136",-0.179844790789149
"137",-0.179844790789149
"138",-0.179844790789149
"139",-0.179844790789149
"140",-0.416058289315523
"141",-0.416058289315523
"142",-0.416058289315523
"143",-0.416058289315523
"144",-0.416058289315523
"145",-0.416058289315523
"146",-0.416058289315523
"147",-0.416058289315523
"148",-0.416058289315523
"149",-0.313007151999256
"150",-0.313007151999256
"151",-0.313007151999256
"152",-0.313007151999256
"153",-0.313007151999256
"154",-0.313007151999256
"155",-0.624125885842765
"156",-0.624125885842765
"157",-0.624125885842765
"158",-0.624125885842765
"159",-0.624125885842765
"160",-0.624125885842765
"161",-0.624125885842765
"162",-0.377403530794306
"163",-0.377403530794306
"164",-0.377403530794306
"165",-0.377403530794306
"166",-0.377403530794306
"167",-0.377403530794306
"168",-0.377403530794306
"169",-0.377403530794306
"170",-0.524307045698296
"171",-0.524307045698296
"172",-0.524307045698296
"173",-0.524307045698296
"174",-0.524307045698296
"175",-0.524307045698296
"176",-0.524307045698296
"177",-0.556071545538143
"178",-0.556071545538143
"179",-0.556071545538143
"180",-0.556071545538143
"181",-0.556071545538143
"182",-0.556071545538143
"183",-0.556071545538143
"184",-0.556071545538143
"185",-0.581992020455837
"186",-0.581992020455837
"187",-0.581992020455837
"188",-0.581992020455837
"189",-0.581992020455837
"190",-0.581992020455837
"191",-0.581992020455837
"192",-0.581992020455837
"193",-0.581992020455837
"194",-0.087991741742555
"195",-0.087991741742555
"196",-0.087991741742555
"197",-0.087991741742555
"198",-0.087991741742555
"199",-0.087991741742555
"200",-0.087991741742555
"201",-0.087991741742555
"202",-0.087991741742555
"203",-0.354174198774463
"204",-0.354174198774463
"205",-0.354174198774463
"206",-0.354174198774463
"207",-0.354174198774463
"208",-0.354174198774463
"209",-0.354174198774463
"210",0.184652842045841
"211",0.184652842045841
"212",0.184652842045841
"213",0.184652842045841
"214",0.184652842045841
"215",0.184652842045841
"216",0.184652842045841
"217",0.184652842045841
"218",0.184652842045841
"219",-0.64120213460755
"220",-0.64120213460755
"221",-0.64120213460755
"222",-0.64120213460755
"223",-0.64120213460755
"224",-0.64120213460755
"225",-0.64120213460755
"226",-0.64120213460755
"227",-0.64120213460755
"228",0.511584381122679
"229",0.511584381122679
"230",0.511584381122679
"231",0.511584381122679
"232",0.511584381122679
"233",-0.607422910147648
"234",-0.607422910147648
"235",-0.607422910147648
"236",-0.607422910147648
"237",-0.607422910147648
"238",-0.607422910147648
"239",-0.607422910147648
"240",-0.55805661091061
"241",-0.55805661091061
"242",-0.55805661091061
"243",-0.55805661091061
"244",-0.55805661091061
"245",-0.55805661091061
"246",-0.55805661091061
"247",-0.55805661091061
"248",-0.58209142936228
"249",-0.58209142936228
"250",-0.58209142936228
"251",-0.58209142936228
"252",-0.58209142936228
"253",-0.58209142936228
"254",-0.58209142936228
