"","V1"
"1",2.06730232300885
"2",2.06730232300885
"3",2.06730232300885
"4",2.06730232300885
"5",2.06730232300885
"6",0.108544322288052
"7",0.108544322288052
"8",0.108544322288052
"9",0.509932106886116
"10",0.509932106886116
"11",0.509932106886116
"12",0.509932106886116
"13",0.509932106886116
"14",0.509932106886116
"15",0.509932106886116
"16",0.509932106886116
"17",0.0811509987884952
"18",1.37169857774334
"19",1.37169857774334
"20",0.344403344022736
"21",0.344403344022736
"22",0.344403344022736
"23",0.344403344022736
"24",0.344403344022736
"25",0.344403344022736
"26",-0.69677195804239
"27",-0.69677195804239
"28",-0.164720585314289
"29",-0.164720585314289
"30",-0.164720585314289
"31",-0.164720585314289
"32",-0.164720585314289
"33",-0.29238961598715
"34",-0.29238961598715
"35",-0.29238961598715
"36",-0.29238961598715
"37",1.82578435466686
"38",1.90323216691932
"39",2.1168206684932
"40",1.91043947806505
"41",2.10750989509816
"42",1.78425029404446
"43",1.97580296667875
"44",2.08524892484518
"45",0.100864114579839
"46",0.018527457752032
"47",-0.0682733797144193
"48",0.062786035880076
"49",0.0215487119914313
"50",0.0500157151889181
"51",0.441435509526225
"52",0.0260963505120584
"53",0.272626708372728
"54",0.297565108227152
"55",0.261677772603831
"56",0.378152328735649
"57",0.19179855956915
"58",0.152068215421281
"59",-0.743512863335699
"60",-0.750755130890214
"61",-0.612780837274817
"62",-0.642693347806824
"63",0.349414283535896
"64",0.47491090820405
"65",0.33154586178511
"66",0.311588218777529
"67",0.325140789490336
"68",0.311675288999742
"69",0.458527504574445
"70",0.465245070764508
"71",1.23416124142765
"72",1.17123904212055
"73",1.25917279666982
"74",1.2891161636175
"75",1.38969019777804
"76",1.20721699190631
"77",1.33745969990582
"78",1.31060597695018
"79",1.14280166246128
"80",-0.151147827747641
"81",0.0763206818781152
"82",0.0352256234732203
"83",-0.216315493674987
"84",0.195942537427118
"85",-0.119590821411503
"86",-0.0632810075405817
"87",-0.694847343536914
"88",-0.675058345769677
"89",-0.641390174449245
"90",-0.703323183718106
"91",-0.768627004045526
"92",1.55823339165433
"93",0.834424116648183
"94",1.08320555216588
"95",0.853615745782043
"96",1.21146714818905
"97",-0.431797314050375
"98",-0.430521587545355
"99",-0.448564574864292
"100",-0.392603452189056
"101",-0.318759317408647
"102",-0.516743070180939
"103",-0.3056780688468
"104",-0.418994411194691
"105",1.78335099614791
"106",1.82611148467185
"107",1.97981071763637
"108",2.10353276851805
"109",1.97288870346362
"110",2.08197327105119
"111",2.11409896526563
"112",-0.0649945223028341
"113",0.0171390578971252
"114",0.099742752438176
"115",0.100904378325664
"116",0.0640203232588321
"117",0.0725132916768241
"118",1.34120608550469
"119",1.40200354401104
"120",1.47948154452109
"121",1.55082898133281
"122",1.61701323830246
"123",1.70705394685598
"124",1.77629979170186
"125",-0.757043447268146
"126",-0.744976801582286
"127",-0.736068933095094
"128",-0.690587330757778
"129",-0.640884846127697
"130",-0.642032194213401
"131",-0.651370739221241
"132",-0.602110587627904
"133",0.312529028207425
"134",0.312138137098519
"135",0.325523796893136
"136",0.350175280166866
"137",0.459362083394276
"138",0.465719759332525
"139",1.20756976538938
"140",1.33670050366731
"141",1.28831763085391
"142",1.38966719711208
"143",0.8344935734036
"144",0.861943991336448
"145",0.864353032930306
"146",0.902440202120974
"147",0.88206957871731
"148",0.969918433393251
"149",1.0170231049075
"150",1.08354769010076
"151",1.21222597819866
"152",-0.499682048033406
"153",-0.379114760649379
"154",-0.44769336607211
"155",-0.532338392642018
"156",-0.46265118326244
"157",-0.426207281285108
"158",-0.371017103061488
"159",-0.8200456592963
"160",-0.8200456592963
"161",-0.674917094357911
"162",-0.607572342430536
"163",-0.690462295551705
"164",0.101270372392489
"165",-0.117882849286032
"166",0.0366130057149988
"167",-0.2129123259669
"168",1.89872449673851
"169",2.19615890214539
"170",-0.0664275457048677
"171",0.0265010968150976
"172",0.0289167659406121
"173",0.0988158615702645
"174",1.24764689103094
"175",1.34791517810851
"176",1.47306834157197
"177",1.62514173814144
"178",1.70252107770392
"179",1.78309092423882
"180",-0.74587280500292
"181",-0.675266293614655
"182",-0.579778922337158
"183",-0.640016189289317
"184",-0.584016489105394
"185",-0.567265001760907
"186",0.306037537074664
"187",0.349667744687172
"188",0.445397531260913
"189",0.461563235572041
"190",0.500913785439881
"191",1.18728331126501
"192",1.23031245338238
"193",1.3565198975946
"194",1.58986461907637
"195",0.905323488707894
"196",0.961567834829587
"197",1.01679936886938
"198",1.12412263916704
"199",1.20288291981567
"200",-0.500074926563117
"201",-0.46514892120938
"202",-0.393785979123336
"203",-0.448564574864292
"204",-0.535282116223155
"205",-0.457802827481974
"206",-0.427823553141819
"207",-0.380017720368989
"208",0.819009938270018
"209",0.877370917835123
"210",0.923555291533551
"211",0.982560822781192
"212",1.10473782941344
"213",1.18353098679392
"214",1.19941684097156
"215",1.10965314870397
"216",1.00283927764632
"217",-0.822473940702154
"218",-0.707597836054901
"219",-0.686738961033516
"220",-0.666985165877798
"221",-0.569182376675841
"222",-0.749201130899742
"223",1.65798686899573
"224",1.69817283171614
"225",1.76491642272385
"226",1.80936275326973
"227",1.82435927414532
"228",1.79489385827808
"229",1.91646127830306
"230",1.98740123467537
"231",1.83072830317949
"232",-0.740959372676514
"233",-0.78801032316363
"234",-0.742746063700632
"235",-0.766478677730818
"236",-0.655551407530582
"237",-0.686580468907016
"238",-0.599062888307111
"239",-0.692577938686079
"240",-0.620636891420455
"241",1.16542761289548
"242",1.22599743730902
"243",1.30188685053755
"244",1.39072228020965
"245",1.44983789073239
"246",1.53366009778495
"247",1.60531174966867
"248",1.68392337213569
"249",1.76239740622547
"250",-0.738693214402949
"251",-0.722909214726166
"252",-0.657218627791403
"253",-0.551764744494637
"254",-0.641431692692134
"255",-0.532404386344406
"256",-0.506138082430929
"257",0.241695869028313
"258",0.217023895573752
"259",0.255444201668885
"260",0.332318395092391
"261",0.348597432804119
"262",0.371204188370898
"263",0.49106641681441
"264",0.409499248841419
"265",0.40880374847521
"266",0.464690543364275
"267",0.798004541402278
"268",0.640903885302513
"269",0.836488245168066
"270",0.750094704001507
"271",0.790303877992799
"272",0.806574430935723
"273",0.8163533324625
"274",0.790798421199382
"275",0.931412832307599
"276",1.12344463857824
"277",1.1978735682263
"278",-0.722761268500995
"279",-0.638800233670579
"280",-0.55276407786198
"281",-0.543617103837288
"282",-0.789531145984097
"283",-0.807027446556043
"284",-0.733327961940699
"285",-0.657933738643578
"286",-0.647144779672642
"287",1.01421562863489
"288",1.04360576815514
"289",1.10029605806962
"290",1.17507686380015
"291",1.28463290217357
"292",1.37317072473583
"293",1.26065953410989
"294",1.14251399012578
"295",-0.913633461745286
"296",-0.913633461745286
"297",-0.862445650168941
"298",-0.770469021167154
"299",-0.750928143852841
"300",-0.655649273584382
"301",-0.620617362008062
"302",-0.712494953582695
"303",-0.804271457593834
"304",2.96209377199886
"305",2.96209377199886
"306",2.96209377199886
"307",2.96209377199886
"308",2.96209377199886
"309",2.96209377199886
"310",2.96209377199886
"311",2.96209377199886
"312",2.96209377199886
"313",0.580974505775664
"314",0.580974505775664
"315",0.580974505775664
"316",0.580974505775664
"317",0.580974505775664
"318",0.580974505775664
"319",0.580974505775664
"320",0.580974505775664
"321",0.541046121253053
"322",0.541046121253053
"323",0.541046121253053
"324",0.541046121253053
"325",0.541046121253053
"326",0.541046121253053
"327",0.541046121253053
"328",-0.321099558849843
"329",-0.321099558849843
"330",-0.321099558849843
"331",-0.321099558849843
"332",-0.321099558849843
"333",-0.321099558849843
"334",0.879690337718906
"335",0.879690337718906
"336",0.879690337718906
"337",0.879690337718906
"338",0.879690337718906
"339",0.879690337718906
"340",0.879690337718906
"341",0.879690337718906
"342",2.7205509625276
"343",2.93164361507562
"344",3.09014225169016
"345",3.05194853411829
"346",2.82065093993488
"347",2.98610514399899
"348",0.733873255551432
"349",0.410137684594502
"350",0.481093364580654
"351",0.438403498594205
"352",0.689168575210983
"353",0.530728304114267
"354",0.627800710998456
"355",0.644041352452189
"356",0.661970827263161
"357",0.514785952838511
"358",0.463170302037024
"359",-0.205827125787317
"360",-0.372628815787733
"361",-0.477066503811705
"362",-0.261801303637575
"363",-0.226535909768169
"364",-0.270704590070048
"365",-0.26876837887518
"366",-0.113773658234658
"367",0.823594828699811
"368",0.583006642849851
"369",1.09892135312546
"370",2.5485966893739
"371",2.61212184962037
"372",2.7168057427108
"373",2.8208265033603
"374",2.89310042567206
"375",2.95791798720747
"376",3.08066491310446
"377",3.10834042575669
"378",0.603355785484079
"379",0.662805801200177
"380",0.732915649913636
"381",0.7215892775215
"382",0.632622209526937
"383",0.636532451340853
"384",0.570354008371494
"385",0.515035122681677
"386",0.463329318998427
"387",-0.351068141728988
"388",-0.290151471242465
"389",-0.283113421775799
"390",-0.267861837287821
"391",-0.269148857341618
"392",-0.114027290292755
"393",0.579993941406508
"394",0.682001953680306
"395",0.769615411701762
"396",0.824991409530592
"397",0.868550994605609
"398",0.941046092148827
"399",1.02983285531174
"400",1.14027831737958
"401",0.989956628121367
"402",2.55263889194082
"403",2.59157170696003
"404",2.69483125944177
"405",2.81907306275196
"406",2.94859424017692
"407",3.09924257486245
"408",0.497756699417317
"409",0.442473692977199
"410",0.415510892517628
"411",0.427331564895627
"412",0.598560554793387
"413",0.635644065760916
"414",0.689168575210983
"415",0.733873255551432
"416",0.761462157398363
"417",0.691769653075749
"418",0.635362321115078
"419",0.66202114506397
"420",0.645893052367748
"421",0.608692309013053
"422",0.555341641805763
"423",0.496502941334618
"424",0.447040375400659
"425",0.399250023673268
"426",-0.450248936967363
"427",-0.325158169123828
"428",-0.267745688584086
"429",-0.277941703115866
"430",-0.246433345769557
"431",-0.273890909732179
"432",0.646258464941356
"433",0.684338986099004
"434",0.75814474232714
"435",0.821127311626274
"436",0.97084301040274
"437",1.03618099625226
"438",1.0002908025525
"439",1.01812589933709
"440",2.67902001531679
"441",2.73341699010624
"442",2.55033849079911
"443",2.79149391303085
"444",2.80089129629931
"445",2.86597186237065
"446",2.92984678985482
"447",2.92984678985482
"448",2.99297938626751
"449",2.90630288901092
"450",-0.449457139274406
"451",-0.505197654140016
"452",-0.447119927002839
"453",-0.313174025117725
"454",-0.276909626555107
"455",-0.238408875905657
"456",-0.170840719130373
"457",-0.113322937344645
"458",-0.0584150229172975
"459",-0.154027532373625
"460",-0.232567451322184
"461",-0.324772586656597
"462",-0.456529542130206
"463",-0.560461203854394
"464",-0.652252605833559
"465",-0.732814005806742
"466",-0.778106308339222
"467",-0.577671412559582
"468",-0.494490535679868
"469",-0.414134503455081
"470",-0.404804326451463
"471",-0.370516003052952
"472",-0.414552884096657
"473",-0.404622676916754
"474",-0.340803007130091
"475",-0.2667521375331
"476",0.529241459507984
"477",0.613650239455517
"478",0.673216904201805
"479",0.786208358834733
"480",0.855677593991188
"481",0.906921343537553
"482",0.801410860635858
"483",0.832892907091516
"484",0.707578918819154
"485",0.60432175661002
"486",0.673109546016753
"487",0.730818118149624
"488",0.557644624255504
"489",4.16108289292047
"490",4.27853796309991
"491",4.30287793374816
"492",4.33253170495969
"493",0.105517245661449
"494",0.0299174253734149
"495",0.0112336205089085
"496",0.117654968828691
"497",0.290963531296129
"498",0.316647459502844
"499",0.431845761033159
"500",2.02538614772483
"501",2.07760660831592
"502",0.517294262965801
"503",0.0537385950427801
"504",0.0928577572045577
"505",0.274215382319107
"506",0.305006759275276
"507",0.358851901661899
"508",0.398368294513272
"509",3.54739729337797
"510",1.62564178316845
"511",3.58078010789871
"512",3.58078010789871
"513",3.5129837737445
"514",3.48227101019814
"515",7.0349779450528
"516",7.0190591442523
"517",6.99809758582266
"518",6.94742823881646
"519",6.82077864169993
"520",0.593589190366619
"521",0.797616013541443
"522",4.15794382200504
"523",4.17335228423034
"524",4.18494975174192
"525",4.1945191060378
"526",4.24677538623826
"527",4.28621541803415
"528",4.3462106255751
"529",4.28392937343809
"530",0.0306716705326679
"531",-0.0118500845535174
"532",0.0847959287312138
"533",0.376833167576203
"534",0.318708121428553
"535",2.06461302218612
"536",2.08508183221036
"537",1.98278135960083
"538",2.10306571018473
"539",0.500544447787063
"540",0.111147559319135
"541",0.106689007609375
"542",0.349551364970347
"543",0.397423427677184
"544",3.56642169195875
"545",3.45910861177058
"546",3.63335385543883
