Distance,Distance_rescaled,Transect,Gazella gazella,Meles meles,,,Distance,Distance_rescaled,Transect,Hystrix indica,
1030.085247,0.046282537,Kerem Maharal Far,0,0,,,1052.41521,0.067091386,Kerem Maharal Far,3,
1040.072272,0.055589248,Kerem Maharal Far,0,0,,,1061.396732,0.075461089,Ofer Far,0,
1040.48246,0.055971494,Kerem Maharal Far,0,0,,,1062.842255,0.076808143,Ofer Far,1,
1045.621052,0.060760045,Ofer Far,0,0,,,1075.669089,0.088761215,Ramat Hashofet Far,1,
1046.230217,0.061327714,Ofer Far,0,0,,,1088.648366,0.100856345,Kerem Maharal Far,0,
1052.110248,0.066807198,Kerem Maharal Far,0,2,,,1095.784365,0.107506241,Ofer Far,0,
1052.41521,0.067091386,Kerem Maharal Far,0,1,,,1101.471171,0.112805663,Bat Shlomo Far,0,
1061.396732,0.075461089,Ofer Far,0,0,,,1106.561399,0.117549145,Kerem Maharal Far,1,
1062.842255,0.076808143,Ofer Far,0,0,,,1108.027015,0.118914924,Elyakim Far,0,
1075.669089,0.088761215,Ramat Hashofet Far,0,0,,,1108.989175,0.119811542,Elyakim Far,0,
1088.648366,0.100856345,Kerem Maharal Far,0,0,,,1114.060559,0.124537464,Ofer Far,0,
1095.784365,0.107506241,Ofer Far,0,0,,,1114.210837,0.124677505,Kerem Maharal Far,0,
1106.561399,0.117549145,Kerem Maharal Far,0,1,,,1116.858343,0.127144663,Elyakim Far,0,
1108.027015,0.118914924,Elyakim Far,0,0,,,1126.440246,0.136073848,Ramat Hashofet Far,0,
1108.989175,0.119811542,Elyakim Far,0,1,,,1129.038713,0.138495308,Kerem Maharal Far,1,
1114.060559,0.124537464,Ofer Far,0,0,,,1129.928014,0.13932403,Kerem Maharal Far,2,
1114.210837,0.124677505,Kerem Maharal Far,0,0,,,1130.125313,0.139507889,Elyakim Far,1,
1116.858343,0.127144663,Elyakim Far,0,0,,,1130.129757,0.139512031,Kerem Maharal Far,0,
