Project.ID,year,Unit,Subunit,Site,Proximity,Dunes,Lon,Lat,Start.date,Deployment.id,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Erinaceus concolor,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Martes foina,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Far,NA,35.008281,32.69753,15508,Nir Etzion Far CA2,3,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Far,NA,35.008281,32.69753,15508,Nir Etzion Far CA3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Far,NA,35.008281,32.69753,15508,Nir Etzion Far CA4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Far,NA,35.008281,32.69753,15508,Nir Etzion Far CA5,85,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Far,NA,35.008281,32.69753,15508,Nir Etzion Far CA6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Far,NA,35.008281,32.69753,15508,Nir Etzion Far CA7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Far,NA,35.008281,32.69753,15508,Nir Etzion Far CA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Far,NA,35.008281,32.69753,15508,Nir Etzion Far CA9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,41,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Near,NA,34.996464,32.700115,15508,Nir Etzion Near CA10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Near,NA,34.996464,32.700115,15508,Nir Etzion Near CA11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Near,NA,34.996464,32.700115,15508,Nir Etzion Near CA12,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Near,NA,34.996464,32.700115,15508,Nir Etzion Near CA13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Near,NA,34.996464,32.700115,15508,Nir Etzion Near CA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Near,NA,34.996464,32.700115,15508,Nir Etzion Near CA15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Near,NA,34.996464,32.700115,15508,Nir Etzion Near CA16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Near,NA,34.996464,32.700115,15508,Nir Etzion Near CA17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T0,2012,Mediterranean Maquis,Carmel,Nir Etzion,Near,NA,34.996464,32.700115,15508,Nir Etzion Near CA18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Far,NA,34.992922,32.6151,15523,Ofer Far CA28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Far,NA,34.992922,32.6151,15523,Ofer Far CA29,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Far,NA,34.992922,32.6151,15523,Ofer Far CA30,4,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Far,NA,34.992922,32.6151,15523,Ofer Far CA31,25,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Far,NA,34.992922,32.6151,15523,Ofer Far CA32,24,0,0,0,0,0,0,0,3,1,0,0,0,0,7,5
T0,2012,Mediterranean Maquis,Carmel,Ofer,Far,NA,34.992922,32.6151,15523,Ofer Far CA33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Far,NA,34.992922,32.6151,15523,Ofer Far CA34,9,0,0,0,0,0,0,0,6,11,0,0,0,0,7,2
T0,2012,Mediterranean Maquis,Carmel,Ofer,Far,NA,34.992922,32.6151,15523,Ofer Far CA35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Far,NA,34.992922,32.6151,15523,Ofer Far CA36,13,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Near,NA,34.984608,32.617701,15523,Ofer Near CA10,154,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Near,NA,34.984608,32.617701,15523,Ofer Near CA11,47,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Near,NA,34.984608,32.617701,15523,Ofer Near CA12,138,0,0,0,0,0,0,0,1,2,0,0,0,0,43,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Near,NA,34.984608,32.617701,15523,Ofer Near CA13,62,0,0,0,0,0,0,0,2,1,0,0,0,0,19,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Near,NA,34.984608,32.617701,15523,Ofer Near CA14,58,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6
T0,2012,Mediterranean Maquis,Carmel,Ofer,Near,NA,34.984608,32.617701,15523,Ofer Near CA15,24,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Near,NA,34.984608,32.617701,15523,Ofer Near CA16,46,0,0,0,0,0,0,0,1,3,0,0,0,0,10,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Near,NA,34.984608,32.617701,15523,Ofer Near CA17,27,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0
T0,2012,Mediterranean Maquis,Carmel,Ofer,Near,NA,34.984608,32.617701,15523,Ofer Near CA18,92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
T0,2012,Mediterranean Maquis,Carmel,Yagur,Far,NA,35.054124,32.754811,15495,Yagur Far CA28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
T0,2012,Mediterranean Maquis,Carmel,Yagur,Far,NA,35.054124,32.754811,15495,Yagur Far CA29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
T0,2012,Mediterranean Maquis,Carmel,Yagur,Far,NA,35.054124,32.754811,15495,Yagur Far CA30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0
T0,2012,Mediterranean Maquis,Carmel,Yagur,Far,NA,35.054124,32.754811,15495,Yagur Far CA31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
T0,2012,Mediterranean Maquis,Carmel,Yagur,Far,NA,35.054124,32.754811,15495,Yagur Far CA32,8,0,0,0,0,0,0,0,0,8,0,1,1,0,13,0
