"","SciName","Intercept.coef","Distance.coef","Time_diff.coef","Site_Ezuz.coef","Site_Merhav_Am.coef","Site_Sde_Boker.coef","Site_Yeruham.coef","Distance_time.coef","Intercept.p","Distance.p","Time_diff.p","Site.p","Distance_time.p","species_abundance"
"1","Canis.aureus",0.292104807560434,-0.415997017387077,0.963250339943409,1.00179347277918,0.969225993081428,-0.00309334110448097,0.603238759853901,-0.885982578175822,NA,0.001,0.001,0.105,0.036,973
"2","Gazella.dorcas",-1.49046887554372,2.28115793115371,1.16632911657354,1.3759111363326,-0.624454492608396,-0.20365815757437,-20.1495359746721,-1.41312814037491,NA,0.038,0.018,0.001,0.212,190
"3","Hyaena.hyaena",-0.971083352977981,-0.0918552327241948,0.64557745555702,-2.78591245882642,-0.952902223881795,-1.19784352500827,-0.00684705555909671,0.412076080249539,NA,0.157,0.043,0.011,0.642,128
"4","Hystrix.indica",-0.384471543497161,-1.12499885270387,0.639538080406247,-0.244118269774348,0.445452553243314,-0.0464782274784845,1.95144563048776,-0.192052824484214,NA,0.001,0.052,0.002,0.648,607
"5","Lepus.capensis",-1.56262638412742,1.5488901142069,0.0621053630798847,1.98706358352887,-0.521617199827317,-0.827039164156442,-0.320404870728516,0.992611796941501,NA,0.001,0.273,0.007,0.146,177
"6","Vulpes.vulpes",-1.27080701550072,-0.447457944026081,0.479461683968803,-0.41561275952507,2.3098829578415,2.29506156434982,1.74922307192132,0.224284466172839,NA,0.01,0.102,0.001,0.648,465
